"Članica";"Kratica";"Program";"Členitev";"Način";"Stopnja";"Letnik";"Spol";"Državljanstvo";"UTEZ"
"Biotehniška fakulteta";"UL BF";"Hortikultura";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biologija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Agronomija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Molekulska in funkcionalna biologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Kmetijstvo - zootehnika";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biotehnologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biotehnologija";"Splošna biotehnologija";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Prehrana";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Živilstvo in prehrana";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Znanost o živalih";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Mikrobiologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo in upravljanje gozdnih ekosistemov";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Ekonomija";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"M";"BANGLADEŠ";1
"Ekonomska fakulteta";"UL EF";"Mednarodno poslovanje";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Oskrbovalne verige in logistika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"UKRAJINA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Mednarodno poslovanje";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"BOSNA IN HERCEGOVINA";1
"Fakulteta za družbene vede";"UL FDV";"Družboslovna informatika";"Podatkovna analitika";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Družboslovna informatika";"Družba ter uporabna družboslovna informatika";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Medijske in komunikacijske študije";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Novinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Azijske študije";"Sinologija - enopredmetna smer";"IZREDNI";"druga stopnja";"Absolventi";"Ž";"RUSKA FEDERACIJA";1
"Filozofska fakulteta";"UL FF";"Arheologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Nemščina - enopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Avtomatika";"REDNI";"prva stopnja";"Absolventi";"M";"BOLGARIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Biokemija";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Kemija";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
